STATE,REMARKS,Districts,Languages,
ANDAMAN & NICOBAR,Andaman & Nicobar Islands,NICOBARS,NO,
ANDAMAN & NICOBAR,Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,NO,
ANDAMAN & NICOBAR,Andaman & Nicobar Islands,SOUTH ANDAMANS,NO,
ANDHRA PRADESH,Coastal Andhra Pradesh,EAST GODAVARI,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,VISAKHAPATANAM,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,VIZIANAGARAM,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,WEST GODAVARI,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,GUNTUR,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,KRISHNA,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,PRAKASAM,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,SRIKAKULAM,DRAVIDIAN,
ANDHRA PRADESH,Coastal Andhra Pradesh,SPSR NELLORE,DRAVIDIAN,
ANDHRA PRADESH,Rayalseema,KADAPA,DRAVIDIAN,
ANDHRA PRADESH,Rayalseema,CHITTOOR,DRAVIDIAN,
ANDHRA PRADESH,Rayalseema,KURNOOL,DRAVIDIAN,
ANDHRA PRADESH,Rayalseema,ANANTAPUR,DRAVIDIAN,
ARUNACHAL PRADESH,Arunachal Pradesh,WEST SIANG,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,LOWER SUBANSIRI,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,NAMSAI,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,EAST KAMENG,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,LOWER DIBANG VALLEY,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,TIRAP,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,DIBANG VALLEY,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,UPPER SIANG,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,KRA DAADI,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,UPPER SUBANSIRI,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,KURUNG KUMEY,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,LOHIT,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,WEST KAMENG,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,LONGDING,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,PAPUM PARE,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,CHANGLANG,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,TAWANG,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,SIANG,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,ANJAW,NO,
ARUNACHAL PRADESH,Arunachal Pradesh,EAST SIANG,NO,
ASSAM,ASSAM,HOJAI,ASSAMESE,
ASSAM,ASSAM,BISWANATH,ASSAMESE,
ASSAM,ASSAM,WEST KARBI ANGLONG,ASSAMESE,
ASSAM,Assam & Meghalaya,KARBI ANGLONG,ASSAMESE,
ASSAM,Assam & Meghalaya,DIBRUGARH,ASSAMESE,
ASSAM,Assam & Meghalaya,BAKSA,ASSAMESE,
ASSAM,Assam & Meghalaya,CHIRANG,ASSAMESE,
ASSAM,Assam & Meghalaya,BARPETA,ASSAMESE,
ASSAM,Assam & Meghalaya,KARIMGANJ,BISHNUPRIYA,
ASSAM,Assam & Meghalaya,DHEMAJI,ASSAMESE,
ASSAM,Assam & Meghalaya,CACHAR,BISHNUPRIYA,
ASSAM,Assam & Meghalaya,DIMA HASAO,BISHNUPRIYA,
ASSAM,Assam & Meghalaya,SONITPUR,ASSAMESE,
ASSAM,Assam & Meghalaya,TINSUKIA,ASSAMESE,
ASSAM,Assam & Meghalaya,KOKRAJHAR,ASSAMESE,
ASSAM,Assam & Meghalaya,BONGAIGAON,ASSAMESE,
ASSAM,Assam & Meghalaya,GOALPARA,ASSAMESE,
ASSAM,Assam & Meghalaya,KAMRUP METRO,ASSAMESE,
ASSAM,Assam & Meghalaya,MARIGAON,ASSAMESE,
ASSAM,Assam & Meghalaya,KAMRUP,ASSAMESE,
ASSAM,Assam & Meghalaya,LAKHIMPUR,ASSAMESE,
ASSAM,Assam & Meghalaya,DARRANG,ASSAMESE,
ASSAM,Assam & Meghalaya,NALBARI,ASSAMESE,
ASSAM,Assam & Meghalaya,DHUBRI,ASSAMESE,
ASSAM,Assam & Meghalaya,UDALGURI,ASSAMESE,
ASSAM,Assam & Meghalaya,JORHAT,ASSAMESE,
ASSAM,Assam & Meghalaya,MAJULI,ASSAMESE,
ASSAM,Assam & Meghalaya,CHARAIDEO,ASSAMESE,
ASSAM,Assam & Meghalaya,GOLAGHAT,ASSAMESE,
ASSAM,Assam & Meghalaya,HAILAKANDI,BISHNUPRIYA,
ASSAM,Assam & Meghalaya,SIVASAGAR,ASSAMESE,
ASSAM,Assam & Meghalaya,NAGAON,ASSAMESE,
