Districts,Languages
NICOBARS,"""NA"""
NORTH AND MIDDLE ANDAMAN,"""NA"""
SOUTH ANDAMANS,"""NA"""
EAST GODAVARI,"""DRAVIDIAN"""
VISAKHAPATANAM,"""DRAVIDIAN"""
VIZIANAGARAM,"""DRAVIDIAN"""
WEST GODAVARI,"""DRAVIDIAN"""
GUNTUR,"""DRAVIDIAN"""
KRISHNA,"""DRAVIDIAN"""
PRAKASAM,"""DRAVIDIAN"""
SRIKAKULAM,"""DRAVIDIAN"""
SPSR NELLORE,"""DRAVIDIAN"""
KADAPA,"""DRAVIDIAN"""
CHITTOOR,"""DRAVIDIAN"""
KURNOOL,"""DRAVIDIAN"""
ANANTAPUR,"""DRAVIDIAN"""
WEST SIANG,"""NA"""
LOWER SUBANSIRI,"""NA"""
NAMSAI,"""NA"""
EAST KAMENG,"""NA"""
LOWER DIBANG VALLEY,"""NA"""
TIRAP,"""NA"""
DIBANG VALLEY,"""NA"""
UPPER SIANG,"""NA"""
KRA DAADI,"""NA"""
UPPER SUBANSIRI,"""NA"""
KURUNG KUMEY,"""NA"""
LOHIT,"""NA"""
WEST KAMENG,"""NA"""
LONGDING,"""NA"""
PAPUM PARE,"""NA"""
CHANGLANG,"""NA"""
TAWANG,"""NA"""
SIANG,"""NA"""
ANJAW,"""NA"""
EAST SIANG,"""NA"""
HOJAI,"""ASSAMESE"""
BISWANATH,"""ASSAMESE"""
WEST KARBI ANGLONG,"""ASSAMESE"""
KARBI ANGLONG,"""ASSAMESE"""
DIBRUGARH,"""ASSAMESE"""
BAKSA,"""ASSAMESE"""
CHIRANG,"""ASSAMESE"""
BARPETA,"""ASSAMESE"""
KARIMGANJ,"""ASSAMESE"""
DHEMAJI,"""ASSAMESE"""
CACHAR,"""ASSAMESE"""
DIMA HASAO,"""ASSAMESE"""
SONITPUR,"""ASSAMESE"""
TINSUKIA,"""ASSAMESE"""
KOKRAJHAR,"""ASSAMESE"""
BONGAIGAON,"""ASSAMESE"""
GOALPARA,"""ASSAMESE"""
KAMRUP METRO,"""ASSAMESE"""
MARIGAON,"""ASSAMESE"""
KAMRUP,"""ASSAMESE"""
LAKHIMPUR,"""ASSAMESE"""
DARRANG,"""ASSAMESE"""
NALBARI,"""ASSAMESE"""
DHUBRI,"""ASSAMESE"""
UDALGURI,"""ASSAMESE"""
JORHAT,"""ASSAMESE"""
GOLAGHAT,"""ASSAMESE"""
HAILAKANDI,"""ASSAMESE"""
SIVASAGAR,"""ASSAMESE"""
NAGAON,"""ASSAMESE"""
Sudhnutti,"""NA"""
Bagh,"""NA"""
Bhimber,"""NA"""
Hattian,"""NA"""
Haveli,"""NA"""
Mirpur,"""NA"""
Kotli,"""NA"""
Muzaffarabad,"""NA"""
Neelum,"""NA"""
Poonch,"""NA"""
Killa Abdullah,"""NA"""
Sohbatpur,"""NA"""
Sherani,"""NA"""
Lehri,"""NA"""
Awaran,"""NA"""
Barkhan,"""NA"""
Chaghi,"""NA"""
Dera Bugti,"""NA"""
Kohlu,"""NA"""
Gwadar,"""NA"""
Harnai,"""NA"""
Jaffarabad,"""NA"""
Jhal Magsi,"""NA"""
Kachhi,"""NA"""
Kalat,"""NA"""
Kech,"""NA"""
Kharan,"""NA"""
Loralai,"""NA"""
Khuzdar,"""NA"""
Killa Saifullah,"""NA"""
Lasbela,"""NA"""
Mastung,"""NA"""
Musakhail,"""NA"""
Nasirabad,"""NA"""
Nushki,"""NA"""
Panjgur,"""NA"""
Pishin,"""NA"""
Quetta,"""NA"""
Sibi,"""NA"""
Washuk,"""NA"""
Zhob,"""NA"""
Ziarat,"""NA"""
MUNGER,"""MAGAHI"""
SHEIKHPURA,"""MAGAHI"""
SUPAUL,"""MAITHILI"""
PATNA,"""MAGAHI"""
PASHCHIM CHAMPARAN,"""BHOJPURI"""
SARAN,"""MAGAHI"""
SIWAN,"""BAJJIKA"""
MADHEPURA,"""MAITHILI"""
VAISHALI,"""MAGAHI"""
SITAMARHI,"""MAITHILI"""
KISHANGANJ,"""MAITHILI"""
LAKHISARAI,"""MAGAHI"""
PURBI CHAMPARAN,"""BAJJIKA"""
NALANDA,"""MAGAHI"""
ROHTAS,"""MAGAHI"""
PURNIA,"""MAITHILI"""
SAMASTIPUR,"""MAGAHI"""
SAHARSA,"""MAITHILI"""
MADHUBANI,"""MAITHILI"""
NAWADA,"""MAGAHI"""
SHEOHAR,"""MAITHILI"""
MUZAFFARPUR,"""MAITHILI"""
BEGUSARAI,"""MAGAHI"""
JAMUI,"""MAGAHI"""
KHAGARIA,"""MAGAHI"""
JEHANABAD,"""MAGAHI"""
BHOJPUR,"""MAGAHI"""
DARBHANGA,"""MAITHILI"""
BHAGALPUR,"""MAGAHI"""
GAYA,"""MAGAHI"""
GOPALGANJ,"""BAJJIKA"""
KATIHAR,"""MAITHILI"""
ARWAL,"""MAGAHI"""
BANKA,"""MAGAHI"""
KAIMUR (BHABUA),"""BHOJPURI"""
ARARIA,"""MAITHILI"""
BUXAR,"""MAGAHI"""
AURANGABADA,"""MAGAHI"""
CHANDIGARH,"""NA"""
SURAJPUR,"""CHHATTISGARHI"""
KOREA,"""CHHATTISGARHI"""
RAJNANDGAON,"""CHHATTISGARHI"""
KABIRDHAM,"""CHHATTISGARHI"""
GARIYABAND,"""BHATTI"""
SURGUJA,"""CHHATTISGARHI"""
MUNGELI,"""CHHATTISGARHI"""
DANTEWADA,"""HALBI"""
MAHASAMUND,"""CHHATTISGARHI"""
BASTAR,"""HALBI"""
DHAMTARI,"""BHATTI"""
RAIGARH,"""CHHATTISGARHI"""
