,STATE,REMARKS,,Crop,Districts,Production,Languages
3680,ANDAMAN & NICOBAR,Andaman & Nicobar Islands,,Arhar/Tur,NICOBARS,33,"""NA"""
10320,ANDAMAN & NICOBAR,Andaman & Nicobar Islands,,Arhar/Tur,NORTH AND MIDDLE ANDAMAN,33,"""NA"""
13680,ANDAMAN & NICOBAR,Andaman & Nicobar Islands,,Arhar/Tur,SOUTH ANDAMANS,33,"""NA"""
1120,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,EAST GODAVARI,1,"""DRAVIDIAN"""
1800,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,VISAKHAPATANAM,1,"""DRAVIDIAN"""
3540,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,VIZIANAGARAM,1,"""DRAVIDIAN"""
3600,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,WEST GODAVARI,1,"""DRAVIDIAN"""
5820,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,GUNTUR,1,"""DRAVIDIAN"""
8280,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,KRISHNA,1,"""DRAVIDIAN"""
11140,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,PRAKASAM,1,"""DRAVIDIAN"""
11540,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,SRIKAKULAM,1,"""DRAVIDIAN"""
13000,ANDHRA PRADESH,Coastal Andhra Pradesh,,Arhar/Tur,SPSR NELLORE,1,"""DRAVIDIAN"""
200,ANDHRA PRADESH,Rayalseema,,Arhar/Tur,KADAPA,1,"""DRAVIDIAN"""
1520,ANDHRA PRADESH,Rayalseema,,Arhar/Tur,CHITTOOR,1,"""DRAVIDIAN"""
12720,ANDHRA PRADESH,Rayalseema,,Arhar/Tur,KURNOOL,1,"""DRAVIDIAN"""
13280,ANDHRA PRADESH,Rayalseema,,Arhar/Tur,ANANTAPUR,1,"""DRAVIDIAN"""
240,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,WEST SIANG,2,"""NA"""
440,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,LOWER SUBANSIRI,2,"""NA"""
600,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,NAMSAI,2,"""NA"""
1380,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,EAST KAMENG,2,"""NA"""
1600,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,LOWER DIBANG VALLEY,2,"""NA"""
2260,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,TIRAP,2,"""NA"""
2380,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,DIBANG VALLEY,2,"""NA"""
4120,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,UPPER SIANG,2,"""NA"""
4520,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,KRA DAADI,2,"""NA"""
4660,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,UPPER SUBANSIRI,2,"""NA"""
5520,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,KURUNG KUMEY,2,"""NA"""
7040,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,LOHIT,2,"""NA"""
8780,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,WEST KAMENG,2,"""NA"""
9120,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,LONGDING,2,"""NA"""
9660,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,PAPUM PARE,2,"""NA"""
9740,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,CHANGLANG,2,"""NA"""
10540,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,TAWANG,2,"""NA"""
10560,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,SIANG,2,"""NA"""
13120,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,ANJAW,2,"""NA"""
13360,ARUNACHAL PRADESH,Arunachal Pradesh,,Arhar/Tur,EAST SIANG,2,"""NA"""
,ASSAM,ASSAM,,Arhar/Tur,HOJAI,3,"""ASSAMESE"""
,ASSAM,ASSAM,,Arhar/Tur,BISWANATH,3,"""ASSAMESE"""
,ASSAM,ASSAM,,Arhar/Tur,WEST KARBI ANGLONG,3,"""ASSAMESE"""
160,ASSAM,Assam & Meghalaya,,Arhar/Tur,KARBI ANGLONG,3,"""ASSAMESE"""
940,ASSAM,Assam & Meghalaya,,Arhar/Tur,DIBRUGARH,3,"""ASSAMESE"""
1060,ASSAM,Assam & Meghalaya,,Arhar/Tur,BAKSA,3,"""ASSAMESE"""
1080,ASSAM,Assam & Meghalaya,,Arhar/Tur,CHIRANG,3,"""ASSAMESE"""
2240,ASSAM,Assam & Meghalaya,,Arhar/Tur,BARPETA,3,"""ASSAMESE"""
3200,ASSAM,Assam & Meghalaya,,Arhar/Tur,KARIMGANJ,3,"""ASSAMESE"""
